DamageBetween20001and3000,DamageGreaterThan3000,MajorDamage_rent,Estimate!!HOUSING OCCUPANCY!!Total housing units,Percent!!HOUSING OCCUPANCY!!Total housing units,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Percent!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Max Wind,Max Pressure,dist_from_landfall
1.0,4.0,1.0,14490.0,14490.0,12610.0,87.1,607,4.4,2124,14.8,3029,21.0,2123,14.6,1930,13.1,1613,11.2,707,4.9,745,5.2,462,3.1,1147,7.9,80,978,87.17574860568733
0.0,0.0,1.0,39773.0,39773.0,35163.0,88.4,450,1.2,5102,12.9,4043,10.2,7717,19.4,6694,16.9,6517,16.4,4276,10.7,2718,6.8,870,2.2,1384,3.5,80,978,349.86321974904513
73.0,29.0,11.0,151738.0,151738.0,136014.0,89.6,5397,3.8,33277,22.3,30493,20.0,20487,13.3,19722,13.0,20481,13.4,11002,7.2,6925,4.6,2186,1.4,1766,1.2,80,978,63.975662564857245
4.0,0.0,0.0,19330.0,19330.0,17802.0,92.3,1588,8.7,4409,23.2,4838,24.6,2592,13.3,1614,8.2,1763,8.9,1033,5.3,1091,5.8,67,0.2,333,1.6,80,978,111.46917110242828
14.0,6.0,5.0,314720.0,314720.0,302947.0,96.4,16692,5.7,104372,34.0,74473,23.2,41857,12.9,37753,11.8,26000,8.2,6351,2.0,3433,1.0,1331,0.4,2457,0.8,80,978,72.85924895433857
22.0,9.0,15.0,165846.0,165846.0,147280.0,89.1,3742,2.4,30856,18.9,29542,17.7,19222,11.6,22219,13.3,24207,14.6,15797,9.4,7942,4.7,3271,2.0,9046,5.4,80,978,82.32416588820641
211.0,95.0,98.0,1942862.0,1942862.0,1789470.0,92.2,48370,2.6,343520,17.9,331946,17.1,217557,11.1,297831,15.4,313187,16.0,168272,8.7,125232,6.4,46561,2.3,50383,2.6,80,978,90.70909393401672
0.0,0.0,0.0,7167.0,7167.0,5677.0,79.4,88,1.2,795,11.4,636,8.7,461,6.3,1090,15.2,1304,18.2,766,10.6,934,13.0,740,10.4,350,4.8,80,978,43.731436791833715
5.0,3.0,2.0,16197.0,16197.0,14032.0,86.3,292,1.8,2705,16.4,1347,8.4,3412,21.0,2668,16.4,2582,16.0,1782,11.0,820,5.1,298,1.8,289,1.8,80,978,190.05951662839485
3.0,2.0,0.0,109759.0,109759.0,93975.0,85.5,1905,1.8,13181,12.0,12665,11.5,10242,9.3,11413,10.3,19276,17.6,22167,20.2,10930,9.8,4472,4.1,3506,3.2,80,978,151.8419112666368
12.0,7.0,2.0,36466.0,36466.0,31577.0,86.6,2215,6.3,7537,21.2,5743,15.5,6156,16.7,4509,12.4,6349,17.5,1401,3.5,1428,3.8,679,1.8,447,1.1,80,978,125.43329037618591
25.0,6.0,1.0,18529.0,18529.0,15312.0,82.5,343,1.8,2253,12.0,1990,10.6,1319,7.2,3342,18.0,4132,22.4,1987,10.9,1671,9.2,567,3.2,923,5.0,80,978,21.91028744744641
46.0,26.0,6.0,272283.0,272283.0,253886.0,93.4,16273,6.4,81569,30.8,69291,25.0,38734,13.8,31444,11.4,23434,8.3,6645,2.4,1476,0.4,978,0.3,2436,1.0,80,978,116.77997682281895
1.0,1.0,0.0,29271.0,29271.0,25792.0,88.2,268,0.9,3311,11.4,3698,12.5,4740,16.2,4834,16.5,5811,19.8,1880,6.4,2759,9.4,1061,3.7,907,3.0,80,978,223.65502055559293
6.0,0.0,0.0,37819.0,37819.0,31923.0,84.4,849,2.2,5857,15.6,4879,12.9,3267,8.6,5890,15.6,6123,16.1,5036,13.4,3762,9.9,1075,2.8,1079,2.8,80,978,165.95414454756207
5.0,2.0,0.0,25680.0,25680.0,18846.0,73.3,690,2.7,4457,17.4,4467,17.5,3784,14.8,3200,12.4,5094,19.9,1914,7.4,1060,4.2,334,1.3,679,2.6,80,978,160.44801485155273
15.0,10.0,2.0,14761.0,14761.0,10698.0,72.4,567,3.9,2085,14.3,3229,22.0,1943,12.9,1969,13.3,2961,20.0,546,3.7,700,4.7,327,2.3,430,3.0,80,978,144.00094426961897
0.0,0.0,0.0,11150.0,11150.0,9119.0,81.6,142,1.2,1772,15.6,1268,11.5,1177,10.8,2016,18.2,2523,22.5,664,6.1,770,6.8,506,4.6,310,3.0,80,978,247.25124187061817
0.0,1.0,0.0,7886.0,7886.0,6034.0,76.1,447,5.4,1356,16.6,986,12.6,1382,17.5,1371,17.5,1359,17.4,198,2.8,168,2.3,115,1.5,501,6.2,80,978,171.34812419732145
1.0,2.0,1.0,31357.0,31357.0,26788.0,85.6,1051,3.6,6353,20.8,2642,7.7,4767,15.0,5658,17.8,7394,24.0,2088,6.7,399,1.2,428,1.3,573,1.8,80,978,149.02682599630174
0.0,1.0,0.0,21409.0,21409.0,19386.0,90.6,1447,7.2,5066,24.4,3887,18.0,3335,15.4,3503,16.5,1742,7.6,1482,7.2,922,4.4,6,-0.2,16,-0.1,80,978,96.2445360111638
8.0,1.0,0.0,17502.0,17502.0,15533.0,88.8,231,1.4,2085,11.8,1675,9.6,2308,13.2,2088,11.9,3439,19.7,1287,7.4,1938,11.0,1139,6.6,1310,7.5,80,978,47.801309919958555
10.0,23.0,3.0,13203.0,13203.0,11235.0,85.1,0,0.0,931,7.0,2674,20.2,2191,16.6,2348,17.8,1479,11.2,907,6.8,673,5.1,607,4.6,1390,10.6,115,937,133.9689980901496
1234.0,546.0,87.0,133350.0,133350.0,119269.0,89.5,0,0.0,14635,10.8,32401,24.4,23249,17.4,19182,14.4,19071,14.3,11521,8.7,8716,6.6,3071,2.3,1502,1.1,115,937,131.05854075577392
330.0,161.0,27.0,15363.0,15363.0,13806.0,89.9,0,0.0,2196,14.0,4915,32.1,2608,17.0,1727,11.3,1823,11.8,907,5.9,498,3.3,301,2.0,384,2.6,115,937,179.2631744632879
1681.0,562.0,41.0,242884.0,242884.0,229959.0,94.7,0,0.0,46533,18.8,76345,31.6,44856,18.6,37082,15.3,26280,10.9,5148,2.2,3759,1.6,1229,0.5,1650,0.7,115,937,133.8436303326549
1612.0,816.0,234.0,144339.0,144339.0,119545.0,82.8,0,0.0,12696,8.8,32054,22.2,20112,14.0,20869,14.5,22087,15.4,14905,10.4,10354,7.1,4068,2.8,7191,5.0,115,937,150.6928909220108
