Name,year,Max Wind,Min Pressure,fipsCode,distance_from_storm,category
BERYL,2024,70,978,48015,40.19202536413942,TS
BERYL,2024,25,1004,48037,6.349637944044917,TD
BERYL,2024,70,978,48039,37.31001313635363,TS
BERYL,2024,50,988,48071,79.16347013912362,TS
BERYL,2024,70,978,48157,29.248124975757406,TS
BERYL,2024,70,978,48167,59.82086391764186,TS
BERYL,2024,70,978,48201,49.63200039310428,TS
BERYL,2024,70,978,48239,42.92652445715968,TS
BERYL,2024,50,988,48241,95.65412674900996,TS
BERYL,2024,50,988,48245,103.09799073565704,TS
BERYL,2024,50,988,48291,54.85041270817071,TS
BERYL,2024,80,978,48321,21.91028744744641,1
BERYL,2024,50,988,48339,33.48189329676821,TS
BERYL,2024,30,997,48347,35.9675689981575,TD
BERYL,2024,50,988,48361,110.97398850637438,TS
BERYL,2024,50,988,48373,39.55101898035818,TS
BERYL,2024,50,988,48407,29.605091215808702,TS
BERYL,2024,30,997,48419,46.3053371369621,TD
BERYL,2024,50,988,48455,29.49583443612929,TS
BERYL,2024,50,988,48471,4.059655531128889,TS
BERYL,2024,70,978,48473,48.076105708226,TS
BERYL,2024,70,978,48481,10.712972487195257,TS
HARVEY,2017,35,997,48015,80.40675353218876,TD
HARVEY,2017,40,997,48039,72.82169826613668,TS
HARVEY,2017,40,990,48071,75.69964284182022,TS
HARVEY,2017,40,997,48157,83.28993970296942,TS
HARVEY,2017,45,993,48167,80.9212167727435,TS
HARVEY,2017,40,997,48201,101.71150650635755,TS
HARVEY,2017,35,997,48239,16.600371189913638,TD
HARVEY,2017,35,996,48241,53.96081595683595,TD
HARVEY,2017,40,991,48245,37.046791739936886,TS
HARVEY,2017,40,991,48291,88.99160834483672,TS
HARVEY,2017,40,997,48321,31.278155206135565,TS
HARVEY,2017,40,991,48339,121.27111352048676,TS
HARVEY,2017,40,992,48361,27.931873655379004,TS
HARVEY,2017,40,992,48373,101.6851778010767,TS
HARVEY,2017,40,992,48407,108.17781083792359,TS
HARVEY,2017,40,992,48471,134.7668868553309,TS
HARVEY,2017,35,997,48473,96.95562129617196,TD
HARVEY,2017,35,997,48481,50.067767280002926,TD
HARVEY,2017,115,937,48007,10.751638197713037,3
HARVEY,2017,40,998,48021,59.70652165158993,TS
HARVEY,2017,65,978,48025,33.69447770141201,TS
HARVEY,2017,40,998,48055,39.19487281247258,TS
HARVEY,2017,40,997,48057,7.687457811339181,TS
HARVEY,2017,35,998,48089,60.73028369187934,TD
HARVEY,2017,45,995,48123,8.744045134008557,TS
HARVEY,2017,45,995,48149,54.26870295000908,TS
HARVEY,2017,65,978,48175,3.85073842364483,TS
HARVEY,2017,40,998,48177,13.499084447149926,TS
HARVEY,2017,45,995,48185,119.51151060952137,TS
HARVEY,2017,40,992,48199,53.094224608030416,TS
HARVEY,2017,50,991,48255,24.4727140355325,TS
HARVEY,2017,105,948,48273,67.28334116039052,2
HARVEY,2017,45,995,48285,25.802778730437275,TS
HARVEY,2017,40,998,48287,77.03582686185472,TS
HARVEY,2017,35,996,48351,39.44891248557098,TD
HARVEY,2017,115,937,48355,37.34413627195349,3
HARVEY,2017,105,948,48391,10.948093730731777,2
HARVEY,2017,35,996,48403,67.60919477082992,TD
HARVEY,2017,105,948,48409,25.0997640127044,2
HARVEY,2017,40,992,48457,72.61807058223539,TS
HARVEY,2017,35,997,48469,11.746706754912196,TD
IKE,2008,85,959,48015,68.48243770529751,1
IKE,2008,95,950,48039,41.52019835390388,1
IKE,2008,95,950,48071,35.05808037025796,1
IKE,2008,85,959,48157,55.00664981125297,1
IKE,2008,95,950,48167,21.190738221306123,1
IKE,2008,85,959,48201,35.92055847033413,1
IKE,2008,85,959,48241,77.86823504283909,1
IKE,2008,95,950,48245,62.036818275232264,1
IKE,2008,85,959,48291,19.06705790273274,1
IKE,2008,95,950,48321,82.84463039202824,1
IKE,2008,85,959,48339,16.42262073510845,1
IKE,2008,50,974,48347,38.96112074379634,TS
IKE,2008,95,950,48361,75.54618001395517,1
IKE,2008,85,959,48373,33.918097960392195,1
