,fipsCode,housing_cluster,econ_cluster
0,48015,0,3
1,48015,0,3
2,48015,0,3
3,48037,0,0
4,48039,2,3
5,48039,2,3
6,48039,2,3
7,48039,2,3
8,48039,2,3
9,48071,0,1
10,48071,0,1
11,48071,0,1
12,48071,0,1
13,48157,2,1
14,48157,2,1
15,48157,2,1
16,48157,2,1
17,48167,2,3
18,48167,2,3
19,48167,2,3
20,48167,2,3
21,48167,2,3
22,48201,3,0
23,48201,3,0
24,48201,3,0
25,48201,3,0
26,48239,0,0
27,48239,0,0
28,48239,0,0
29,48241,0,2
30,48241,0,2
31,48241,0,2
32,48241,0,2
33,48245,2,0
34,48245,2,0
35,48245,2,0
36,48245,2,0
37,48291,0,0
38,48291,0,0
39,48291,0,0
40,48291,0,0
41,48321,0,2
42,48321,0,2
43,48321,0,2
44,48321,0,2
45,48339,2,3
46,48339,2,3
47,48339,2,3
48,48339,2,3
49,48347,0,2
50,48347,0,2
51,48347,0,2
52,48361,0,0
53,48361,0,0
54,48361,0,0
55,48361,0,0
56,48373,0,0
57,48373,0,0
58,48373,0,0
59,48373,0,0
60,48407,0,0
61,48407,0,0
62,48407,0,0
63,48407,0,0
64,48419,0,2
65,48419,0,2
66,48419,0,2
67,48455,0,2
68,48455,0,2
69,48455,0,2
70,48471,0,2
71,48471,0,2
72,48471,0,2
73,48471,0,2
74,48473,0,3
75,48473,0,3
76,48473,0,3
77,48481,0,0
78,48481,0,0
79,12009,2,3
80,12009,2,3
81,12009,2,3
82,12009,2,3
83,12009,2,3
84,12009,2,3
85,12009,2,3
86,12009,2,3
87,12009,2,3
88,12009,2,3
89,12035,0,0
90,12035,0,0
91,12035,0,0
92,12035,0,0
93,12035,0,0
94,12035,0,0
95,12035,0,0
96,12035,0,0
97,12035,0,0
98,12069,2,0
99,12069,2,0
100,12069,2,0
101,12069,2,0
102,12069,2,0
103,12069,2,0
104,12069,2,0
105,12069,2,0
106,12107,0,2
107,12107,0,2
108,12107,0,2
109,12107,0,2
110,12107,0,2
111,12107,0,2
112,12107,0,2
113,12107,0,2
114,12109,2,1
115,12109,2,1
116,12109,2,1
117,12109,2,1
118,12109,2,1
119,12109,2,1
120,12109,2,1
121,12109,2,1
122,12109,2,1
123,12127,2,0
124,12127,2,0
125,12127,2,0
126,12127,2,0
127,12127,2,0
128,12127,2,0
129,12127,2,0
130,12127,2,0
131,12127,2,0
132,45019,2,3
133,45019,2,3
134,45019,2,3
135,45043,0,0
136,45043,0,0
137,45043,0,0
138,45043,0,0
139,45051,2,0
140,45051,2,0
141,45051,2,0
142,45051,2,0
143,12015,2,0
144,12015,2,0
145,12015,2,0
146,12015,2,0
147,12015,2,0
148,12015,2,0
149,12015,2,0
150,12015,2,0
151,12021,2,3
152,12021,2,3
153,12021,2,3
154,12021,2,3
155,12021,2,3
156,12021,2,3
157,12027,0,2
158,12027,0,2
159,12027,0,2
160,12027,0,2
161,12027,0,2
162,12027,0,2
163,12027,0,2
164,12043,0,2
165,12043,0,2
166,12043,0,2
167,12043,0,2
168,12043,0,2
169,12043,0,2
170,12043,0,2
171,12049,0,2
172,12049,0,2
173,12049,0,2
174,12049,0,2
175,12049,0,2
176,12049,0,2
177,12051,0,2
178,12051,0,2
179,12051,0,2
180,12051,0,2
181,12051,0,2
182,12051,0,2
183,12051,0,2
184,12055,0,2
185,12055,0,2
186,12055,0,2
187,12055,0,2
188,12055,0,2
189,12055,0,2
190,12055,0,2
191,12057,1,3
192,12057,1,3
193,12057,1,3
194,12057,1,3
195,12057,1,3
196,12057,1,3
197,12057,1,3
198,12057,1,3
199,12071,1,0
200,12071,1,0
201,12071,1,0
202,12071,1,0
203,12071,1,0
204,12071,1,0
205,12071,1,0
206,12071,1,0
207,12081,2,3
208,12081,2,3
209,12081,2,3
210,12081,2,3
211,12081,2,3
212,12081,2,3
213,12081,2,3
214,12081,2,3
215,12081,2,3
216,12081,2,3
217,12087,0,3
218,12087,0,3
219,12087,0,3
220,12087,0,3
221,12087,0,3
222,12093,0,2
223,12093,0,2
224,12093,0,2
225,12093,0,2
226,12093,0,2
227,12093,0,2
228,12093,0,2
229,12093,0,2
230,12095,1,3
231,12095,1,3
232,12095,1,3
233,12095,1,3
234,12095,1,3
235,12095,1,3
236,12095,1,3
237,12097,2,0
238,12097,2,0
239,12097,2,0
240,12097,2,0
241,12097,2,0
242,12097,2,0
243,12097,2,0
244,12099,1,3
245,12099,1,3
246,12099,1,3
247,12099,1,3
248,12099,1,3
249,12099,1,3
250,12099,1,3
251,12101,2,0
252,12101,2,0
253,12101,2,0
254,12101,2,0
255,12101,2,0
256,12101,2,0
257,12101,2,0
258,12101,2,0
259,12101,2,0
260,12101,2,0
261,12103,1,0
262,12103,1,0
263,12103,1,0
264,12103,1,0
265,12103,1,0
266,12103,1,0
267,12103,1,0
268,12103,1,0
269,12105,2,0
270,12105,2,0
271,12105,2,0
272,12105,2,0
273,12105,2,0
274,12105,2,0
275,12105,2,0
276,12115,2,3
277,12115,2,3
278,12115,2,3
279,12115,2,3
280,12115,2,3
281,12115,2,3
282,12115,2,3
283,12115,2,3
284,12117,2,3
285,12117,2,3
286,12117,2,3
287,12117,2,3
288,12117,2,3
289,12117,2,3
290,12117,2,3
291,12117,2,3
292,72001,0,4
293,72001,0,4
294,72001,0,4
295,72003,0,4
296,72003,0,4
297,72003,0,4
298,72005,0,4
299,72005,0,4
300,72007,0,4
301,72007,0,4
302,72007,0,4
303,72009,0,4
304,72009,0,4
305,72011,0,4
306,72011,0,4
307,72013,0,4
308,72013,0,4
309,72015,0,4
310,72015,0,4
311,72015,0,4
312,72017,0,4
313,72017,0,4
314,72019,0,4
315,72019,0,4
316,72021,0,4
317,72021,0,4
318,72023,0,4
319,72023,0,4
320,72025,0,4
321,72025,0,4
322,72025,0,4
323,72027,0,4
324,72027,0,4
325,72029,0,4
326,72029,0,4
327,72029,0,4
328,72029,0,4
329,72031,0,4
330,72031,0,4
331,72031,0,4
332,72033,0,4
333,72033,0,4
334,72033,0,4
335,72035,0,4
336,72035,0,4
337,72035,0,4
338,72037,0,4
339,72037,0,4
340,72039,0,4
341,72039,0,4
342,72039,0,4
343,72041,0,4
344,72041,0,4
345,72041,0,4
346,72043,0,4
347,72043,0,4
348,72043,0,4
349,72045,0,4
350,72045,0,4
351,72045,0,4
352,72047,0,4
353,72047,0,4
354,72051,0,4
355,72051,0,4
356,72051,0,4
357,72053,0,4
358,72053,0,4
359,72053,0,4
360,72053,0,4
361,72054,0,4
362,72054,0,4
363,72055,0,4
364,72055,0,4
365,72057,0,4
366,72057,0,4
367,72059,0,4
368,72059,0,4
369,72061,0,2
370,72061,0,2
371,72061,0,2
372,72063,0,2
373,72063,0,2
374,72063,0,2
375,72065,0,4
376,72065,0,4
377,72067,0,4
378,72067,0,4
379,72067,0,4
380,72069,0,4
381,72069,0,4
382,72069,0,4
383,72071,0,4
384,72071,0,4
385,72073,0,4
386,72073,0,4
387,72073,0,4
388,72075,0,4
389,72075,0,4
390,72075,0,4
391,72077,0,4
392,72077,0,4
393,72077,0,4
394,72079,0,4
395,72079,0,4
396,72081,0,4
397,72081,0,4
398,72083,0,4
399,72083,0,4
400,72085,0,4
401,72085,0,4
402,72085,0,4
403,72087,0,4
404,72087,0,4
405,72087,0,4
406,72087,0,4
407,72089,0,4
408,72089,0,4
409,72089,0,4
410,72089,0,4
411,72091,0,4
412,72091,0,4
413,72093,0,4
414,72093,0,4
415,72095,0,4
