,model_features,model_depth,mean_mae,std_mae
0,1,1,309.32150292209957,34.06585904686982
1,1,2,298.6146590199913,33.050160561179446
2,1,3,283.93850330665737,29.957918585860888
3,1,4,264.6165356009109,24.827290366553488
4,1,5,242.92458563326585,21.141090197322733
5,1,6,217.91740563883164,17.319556765940234
6,1,7,191.36059995638556,15.256881623454174
7,1,8,163.82498530272414,13.366914336983912
8,1,9,138.64201114892498,12.3211912179776
9,1,10,115.35978021176417,10.280026443972488
10,1,11,94.84165991730228,10.79756891174743
11,1,12,77.13009914516635,9.710550912969905
12,1,13,61.56014369434016,7.4424193116011645
13,1,14,51.2847507478147,6.941853970654991
14,1,15,42.11545249678752,4.96682126878622
15,1,16,36.459911729859385,5.2191422696101055
16,1,17,32.537177029041864,4.377105330842508
17,1,18,29.72415398633633,4.383837183392918
18,1,19,28.657830013357092,4.672739940194278
19,1,20,26.88469587890982,4.080527590259099
20,1,21,26.63734801301041,4.293744321290809
21,1,22,26.275003222681057,4.990795493023673
22,1,23,25.917513850968312,4.036933566698166
23,1,24,25.377359890740063,4.083199955090779
24,1,25,25.472426353174825,3.742730310435779
25,1,26,25.74890296360353,4.247549762627025
26,1,27,25.36119015583901,3.9605658956262904
27,1,28,25.42802120516435,4.270493744308085
28,1,29,25.583413952560942,4.251756764328218
29,1,30,25.53620421131568,4.205096781300024
30,2,1,306.8517120377775,34.77123098399556
31,2,2,292.963052385343,32.59087602406208
32,2,3,273.6864201443594,28.373510733001556
33,2,4,248.8053703579721,22.57458507103402
34,2,5,223.57427291798194,18.687928000883343
35,2,6,199.41717556479756,16.884831427885526
36,2,7,173.73378514034707,14.712613084641674
37,2,8,147.0239189934428,12.76943471340974
38,2,9,122.55910583262816,11.712106939344537
39,2,10,100.11467334775493,10.630163123245959
40,2,11,80.37141181623046,8.34450734312818
41,2,12,65.14126566551646,8.038335345337526
42,2,13,53.384390222669126,6.925901032592672
43,2,14,43.89402488855481,6.279148456390126
44,2,15,38.724812244695066,5.698560674075204
45,2,16,33.68564919063333,5.1994109957363746
46,2,17,31.55644733358701,5.022265107609654
47,2,18,29.02552310937806,4.829710306537944
48,2,19,27.70161722363347,5.099877656965213
49,2,20,27.5607014836416,5.879996730240569
50,2,21,27.121777972431925,5.389677984275194
51,2,22,26.728592174690732,5.247937722092831
52,2,23,26.564836419516546,5.091886090048304
53,2,24,26.800685701941568,5.369339346945805
54,2,25,26.72687694927737,5.089857221447025
55,2,26,27.028332804700085,5.0708687089978035
56,2,27,26.837561825647935,5.324540029665727
57,2,28,26.455092792217187,5.181655258218024
58,2,29,26.49847993196648,5.204263231078911
59,2,30,26.613923378921037,5.176817246383502
60,3,1,305.02562420023406,36.18460970524008
61,3,2,287.7232740831789,32.18495307657774
62,3,3,266.2767015330652,27.169265505649587
63,3,4,241.66358498765976,22.110290412542714
64,3,5,216.55150993085448,19.322112750225266
65,3,6,190.77562135597506,16.333612033372148
66,3,7,166.1146017329534,15.568000344004268
67,3,8,139.7710052250115,13.984901673632907
68,3,9,114.20740145972479,12.18232588710561
69,3,10,92.23468635090357,10.268838486342073
70,3,11,74.88331110689293,8.79628270713327
71,3,12,61.13114246926521,7.8281679686717975
72,3,13,50.575348221102544,6.428173584737865
73,3,14,42.22697863667469,6.131727083092263
74,3,15,36.976093363131575,5.121384536123131
75,3,16,33.524746866478644,4.454520778137915
76,3,17,30.933955146768444,4.454779031273036
77,3,18,29.030188228670788,4.771654370696753
78,3,19,28.30054404649502,4.488982316471216
79,3,20,27.282709386527394,4.505647924370513
80,3,21,26.90945948366102,4.811165190654189
81,3,22,26.983587767212185,4.396147164100351
82,3,23,26.91380624646778,4.62897235369902
83,3,24,26.857884944318748,4.472793790613874
84,3,25,26.427168132292234,4.773856643525553
85,3,26,26.579576890918368,4.794288584297436
86,3,27,26.980346048381573,4.568844264298346
87,3,28,26.69128872676891,4.491587153668663
88,3,29,26.666180486214575,4.464446536735083
89,3,30,26.622732946741035,4.825286071923699
90,4,1,304.7230720582721,36.68559609209961
91,4,2,285.6900923069184,32.55897367858967
92,4,3,264.1209433295686,27.410570073037196
93,4,4,238.04719339966695,22.220200896394157
94,4,5,212.99342488572466,18.80428880063234
95,4,6,188.2425090449503,16.074178225372478
96,4,7,161.39847555034893,14.035645343187516
97,4,8,134.62322652795427,12.810482196440958
98,4,9,109.78373242571188,11.551703226174842
99,4,10,90.06376957079245,10.058091426329147
100,4,11,72.04779479019588,8.157621179019708
101,4,12,58.737849920446045,7.628981312304437
102,4,13,49.34445889807858,6.246651425861965
103,4,14,42.19192532290811,6.271701092165759
104,4,15,36.7336189079151,6.047777193486603
105,4,16,33.43250588406383,5.5607556108031
106,4,17,31.21465753764532,5.467601374562221
107,4,18,30.07393092960904,6.125114748494865
108,4,19,28.95057131781537,5.636959036160559
109,4,20,28.190066558336127,5.517475977080259
110,4,21,27.864483418547756,5.429709169188567
111,4,22,27.24146181600211,5.567319232844006
112,4,23,27.406870075361883,5.316048193362042
113,4,24,27.22088484541778,5.788133739022353
114,4,25,27.255594709416243,5.164343721486859
115,4,26,27.42227246354986,5.289309672766194
116,4,27,27.88398030052822,5.245512871107315
117,4,28,27.590584062740316,5.233418461562558
118,4,29,27.406361575343972,5.323999393350879
119,4,30,27.810483041672956,5.418139168453843
120,5,1,304.47820020110214,37.118819476792495
121,5,2,283.62439425942733,32.032072503241544
122,5,3,260.46744210653753,28.267910867276328
123,5,4,235.03399725211239,22.404288632033502
124,5,5,210.40908295497212,19.017034144545615
125,5,6,184.50620400452544,17.052876215180422
126,5,7,157.89717884999794,14.01887765733601
127,5,8,132.926742446037,14.827773093058635
128,5,9,108.29412489577301,12.126343440903847
129,5,10,87.20630033214925,9.957833565844574
130,5,11,70.6732818647374,8.390331167278333
131,5,12,57.05356023179386,7.450598270744842
132,5,13,48.41461370544907,6.208549300760174
133,5,14,40.90112501858429,5.733581766448594
134,5,15,37.03682444799391,6.147360652723255
135,5,16,33.46218764459172,5.626162808300095
136,5,17,31.581726076350897,5.657642587689704
137,5,18,29.606015585581538,5.545927579717535
138,5,19,28.20090187970925,5.483936087707261
139,5,20,28.588146382585535,5.391003130633068
140,5,21,28.008673310908012,5.693111051172223
141,5,22,27.564476263435598,5.315353271905362
142,5,23,27.507127388177906,5.326434492556444
143,5,24,27.41803847197692,5.314914107042103
144,5,25,27.362682102436793,5.541378059879265
145,5,26,27.213410627502572,5.4533290125476315
146,5,27,27.294432056823986,5.1814638709376535
147,5,28,27.2538582206282,5.412798281349997
148,5,29,27.3538954659572,5.311819523894461
149,5,30,27.17723064536195,5.359002041893451
150,6,1,303.95793818911744,37.21897075081953
151,6,2,282.75927412773206,32.94408100223332
152,6,3,258.7230656625858,27.281712237663815
153,6,4,233.67091936982547,21.234995830552045
154,6,5,208.86044401565294,18.357896988100595
155,6,6,184.195106158099,16.701982336289205
156,6,7,157.33863783991836,14.781585607570364
157,6,8,132.04761155591157,13.457416278288452
158,6,9,106.41207434376165,11.48682634183633
159,6,10,86.87441157726747,8.801748316815644
160,6,11,71.62861382100732,9.243555120880318
161,6,12,58.86058835654401,8.0904981373718
162,6,13,48.93302536736419,6.99649876415985
163,6,14,42.24045465736757,6.101988106956117
164,6,15,36.896267595398925,6.2720650295688785
165,6,16,32.90368808882273,5.26497663113321
166,6,17,31.673439060477108,5.498327961629321
167,6,18,29.949147621105528,5.409156026313229
168,6,19,29.139693162870866,5.392161344357687
