,disasterNumber,declarationTitle,state,Date,fipsStateCode,fipsCountyCode,placeCode,year,county,validReg_own,DamageBetween1and1000,DamageBetween10001and2000,DamageBetween20001and3000,DamageGreaterThan3000,validReg_rent,ModerateDamage_rent,MajorDamage_rent,SubstDamage_rent
0,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,15,99015,2024,Austin (County),582,100,10,1,4,406,10,1,0
1,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,37,99037,2024,Bowie (County),495,36,7,0,0,1038,23,1,0
2,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,39,99039,2024,Brazoria (County),44176,5499,584,73,29,21580,630,11,0
3,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,71,99071,2024,Chambers (County),3431,417,22,4,0,1133,33,0,0
4,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,157,99157,2024,Fort Bend (County),79137,4907,299,14,6,35331,460,5,0
5,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,167,99167,2024,Galveston (County),23042,2645,270,22,9,19944,564,15,0
6,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,201,99201,2024,Harris (County),331674,30531,2646,211,95,363101,7297,98,0
7,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,239,99239,2024,Jackson (County),481,58,16,0,0,407,6,0,0
8,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,241,99241,2024,Jasper (County),1316,437,79,5,3,851,92,2,0
9,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,245,99245,2024,Jefferson (County),6339,656,52,3,2,12291,217,0,0
10,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,291,99291,2024,Liberty (County),9523,1625,91,12,7,3812,92,2,0
11,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,321,99321,2024,Matagorda (County),4722,928,162,25,6,2726,106,1,0
12,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,339,99339,2024,Montgomery (County),50847,3974,337,46,26,29751,544,6,0
13,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,347,99347,2024,Nacogdoches (County),1145,121,11,1,1,1290,24,0,0
14,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,361,99361,2024,Orange (County),1900,240,18,6,0,2116,65,0,0
15,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,373,99373,2024,Polk (County),4730,948,62,5,2,2076,86,0,0
16,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,407,99407,2024,San Jacinto (County),3474,733,83,15,10,959,65,2,0
17,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,419,99419,2024,Shelby (County),541,92,15,0,0,331,6,0,0
18,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,455,99455,2024,Trinity (County),1036,188,10,0,1,429,13,0,0
19,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,471,99471,2024,Walker (County),2849,441,29,1,2,2409,38,1,0
20,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,473,99473,2024,Waller (County),1449,142,17,0,1,939,25,0,0
21,4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,481,99481,2024,Wharton (County),3957,711,122,8,1,2713,101,0,0
23,4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,9,99009,2022,Brevard (County),920,314,10,0,8,932,49,0,0
24,4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,35,99035,2022,Flagler (County),306,114,57,1,1,110,13,0,0
25,4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,69,99069,2022,Lake (County),260,70,2,0,0,171,6,0,0
26,4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,107,99107,2022,Putnam (County),167,72,2,0,0,117,14,0,0
27,4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,109,99109,2022,St. Johns (County),670,71,26,2,1,91,6,0,0
28,4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,127,99127,2022,Volusia (County),1738,583,88,18,9,1414,256,2,0
