disasterNumber,declarationTitle,state,Date,fipsStateCode,fipsCountyCode,year,county,validReg_own,DamageBetween1and1000,DamageBetween10001and2000,DamageBetween20001and3000,DamageGreaterThan3000,validReg_rent,ModerateDamage_rent,MajorDamage_rent,SubstDamage_rent,fipsCode,LATITUDE_county,LONGITUDE_county
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,15,2024,Austin (County),582.0,100.0,10.0,1.0,4.0,406.0,10.0,1.0,0.0,48015,29.850973,-96.219899
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,15,2017,Austin (County),576.0,175.0,40.0,10.0,23.0,258.0,23.0,3.0,0.0,48015,29.850973,-96.219899
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,15,2008,Austin (County),63.0,29.0,1.0,1.0,0.0,47.0,0.0,0.0,0.0,48015,29.850973,-96.219899
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,37,2024,Bowie (County),495.0,36.0,7.0,0.0,0.0,1038.0,23.0,1.0,0.0,48037,33.436613,-94.20082
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,39,2024,Brazoria (County),44176.0,5499.0,584.0,73.0,29.0,21580.0,630.0,11.0,0.0,48039,29.355331,-95.385044
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,39,2017,Brazoria (County),23647.0,5323.0,2747.0,1234.0,546.0,16256.0,1316.0,87.0,0.0,48039,29.355331,-95.385044
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,39,2008,Brazoria (County),26279.0,8348.0,256.0,62.0,95.0,11357.0,0.0,0.0,0.0,48039,29.355331,-95.385044
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,39,2005,Brazoria (County),5074.0,795.0,2.0,1.0,5.0,4624.0,0.0,0.0,0.0,48039,29.355331,-95.385044
1479,HURRICANE CLAUDETTE,TX,2003-07-15 00:00:00+00:00,48,39,2003,Brazoria (County),367.0,252.0,20.0,5.0,1.0,225.0,0.0,0.0,0.0,48039,29.355331,-95.385044
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,71,2024,Chambers (County),3431.0,417.0,22.0,4.0,0.0,1133.0,33.0,0.0,0.0,48071,29.805419,-94.768972
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,71,2017,Chambers (County),4387.0,1432.0,857.0,330.0,161.0,1629.0,326.0,27.0,0.0,48071,29.805419,-94.768972
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,71,2008,Chambers (County),6214.0,2319.0,169.0,92.0,286.0,1703.0,0.0,0.0,0.0,48071,29.805419,-94.768972
1606,HURRICANE RITA ,TX,2005-09-23 00:00:00+00:00,48,71,2005,Chambers (County),6467.0,3087.0,21.0,5.0,40.0,2460.0,0.0,0.0,0.0,48071,29.805419,-94.768972
4798,HURRICANE BERYL ,TX,2024-07-05 00:00:00+00:00,48,157,2024,Fort Bend (County),79137.0,4907.0,299.0,14.0,6.0,35331.0,460.0,5.0,0.0,48157,29.620209,-95.681282
4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,157,2017,Fort Bend (County),36583.0,7037.0,2873.0,1681.0,562.0,21596.0,1143.0,41.0,0.0,48157,29.620209,-95.681282
1791,HURRICANE IKE,TX,2008-09-07 00:00:00+00:00,48,157,2008,Fort Bend (County),20485.0,5754.0,78.0,15.0,12.0,6858.0,0.0,0.0,0.0,48157,29.620209,-95.681282
