,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Max Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
0,AL011851,            UNNAMED,18510625, 2100, L, HU, 28.2N,  96.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
1,AL041851,            UNNAMED,18510823, 2100, L, HU, 30.1N,  85.7W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
2,AL011852,            UNNAMED,18520826, 0600, L, HU, 30.2N,  88.6W, 100,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
3,AL031852,            UNNAMED,18520912, 0000, L, HU, 28.0N,  82.8W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
4,AL051852,            UNNAMED,18521009, 2100, L, HU, 29.9N,  84.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
5,AL011854,            UNNAMED,18540626, 1200, L, HU, 26.2N,  97.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
6,AL031854,            UNNAMED,18540908, 2000, L, HU, 31.7N,  81.1W, 100,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
7,AL041854,            UNNAMED,18540918, 2100, L, HU, 28.9N,  95.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
8,AL051855,            UNNAMED,18550916, 0300, L, HU, 29.2N,  89.5W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
9,AL011856,            UNNAMED,18560810, 1800, L, HU, 29.2N,  91.1W, 130,  934, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
10,AL051856,            UNNAMED,18560831, 0600, L, HU, 30.2N,  85.9W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
11,AL021857,            UNNAMED,18570913, 0000, L, HU, 33.9N,  78.0W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
12,AL031858,            UNNAMED,18580916, 1700, L, HU, 40.9N,  72.2W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   45
13,AL051859,            UNNAMED,18590916, 0000, L, HU, 30.3N,  88.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
14,AL081859,            UNNAMED,18591028, 1800, L, HU, 27.7N,  82.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
15,AL011860,            UNNAMED,18600811, 2000, L, HU, 29.2N,  90.0W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
16,AL041860,            UNNAMED,18600915, 0400, L, HU, 29.3N,  89.6W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
17,AL061860,            UNNAMED,18601002, 1700, L, HU, 29.5N,  91.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
18,AL051861,            UNNAMED,18610927, 1700, L, HU, 34.5N,  77.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19,AL081861,            UNNAMED,18611102, 1000, L, HU, 34.7N,  76.6W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20,AL041865,            UNNAMED,18650913, 2100, L, HU, 29.8N,  93.4W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
21,AL071865,            UNNAMED,18651023, 1000, L, HU, 24.6N,  81.7W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
22,AL011866,            UNNAMED,18660715, 1200, L, HU, 28.5N,  96.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
23,AL011867,            UNNAMED,18670622, 1400, L, HU, 32.9N,  79.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
24,AL071867,            UNNAMED,18671004, 1500, L, HU, 29.2N,  91.0W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
25,AL021869,            UNNAMED,18690817, 0700, L, HU, 28.1N,  96.8W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
26,AL051869,            UNNAMED,18690905, 1200, L, HU, 29.2N,  90.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
27,AL061869,            UNNAMED,18690908, 2100, L, HU, 41.0N,  71.9W, 100,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
28,AL101869,            UNNAMED,18691004, 1900, L, HU, 41.3N,  70.5W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
29,AL011870,            UNNAMED,18700730, 1800, L, HU, 30.5N,  88.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
30,AL091870,            UNNAMED,18701020, 1400, L, HU, 24.7N,  82.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
31,AL031871,            UNNAMED,18710817, 0200, L, HU, 27.1N,  80.2W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
32,AL041871,            UNNAMED,18710825, 0500, L, HU, 27.1N,  80.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
33,AL061871,            UNNAMED,18710906, 1400, L, HU, 29.2N,  83.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
34,AL031873,            UNNAMED,18730919, 1500, L, HU, 29.9N,  84.4W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
35,AL051873,            UNNAMED,18731007, 0100, L, HU, 26.5N,  82.2W, 100,  959, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
36,AL061874,            UNNAMED,18740928, 0300, L, HU, 29.1N,  82.9W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
37,AL031875,            UNNAMED,18750916, 2100, L, HU, 27.7N,  97.2W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
38,AL021876,            UNNAMED,18760917, 1400, L, HU, 34.4N,  77.6W,  80,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
39,AL051876,            UNNAMED,18761020, 0500, L, HU, 25.8N,  81.4W,  90,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
40,AL021877,            UNNAMED,18770918, 1600, L, HU, 29.2N,  91.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
41,AL041877,            UNNAMED,18771003, 0500, L, HU, 30.0N,  85.5W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
