,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Min Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
0,AL011851,UNNAMED,18510625, 0000,, HU, 28.0N,  94.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
1,AL011851,UNNAMED,18510625, 0600,, HU, 28.0N,  95.4W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
2,AL011851,UNNAMED,18510625, 1200,, HU, 28.0N,  96.0W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
3,AL011851,UNNAMED,18510625, 1800,, HU, 28.1N,  96.5W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
4,AL011851,UNNAMED,18510625, 2100, L, HU, 28.2N,  96.8W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
5,AL011851,UNNAMED,18510626, 0000,, HU, 28.2N,  97.0W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
6,AL011851,UNNAMED,18510626, 0600,, TS, 28.3N,  97.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
7,AL011851,UNNAMED,18510626, 1200,, TS, 28.4N,  98.3W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
8,AL011851,UNNAMED,18510626, 1800,, TS, 28.6N,  98.9W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
9,AL011851,UNNAMED,18510627, 0000,, TS, 29.0N,  99.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
10,AL011851,UNNAMED,18510627, 0600,, TS, 29.5N,  99.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
11,AL011851,UNNAMED,18510627, 1200,, TS, 30.0N, 100.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
12,AL011851,UNNAMED,18510627, 1800,, TS, 30.5N, 100.1W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
13,AL011851,UNNAMED,18510628, 0000,, TS, 31.0N, 100.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
14,AL041851,UNNAMED,18510818, 1200,, HU, 17.2N,  66.0W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
15,AL041851,UNNAMED,18510818, 1800,, HU, 17.6N,  67.6W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
16,AL041851,UNNAMED,18510821, 1800,, HU, 24.4N,  84.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
17,AL041851,UNNAMED,18510822, 0000,, HU, 25.0N,  84.9W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
18,AL041851,UNNAMED,18510822, 0600,, HU, 25.6N,  85.5W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19,AL041851,UNNAMED,18510822, 1200,, HU, 26.2N,  86.0W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20,AL041851,UNNAMED,18510822, 1800,, HU, 26.8N,  86.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
21,AL041851,UNNAMED,18510823, 0000,, HU, 27.4N,  86.5W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
